Sıra,Haber Başlığı,Link
1,"15 years later, Microsoft morged my diagram",https://nvie.com/posts/15-years-later/
2,Halt and Catch Fire: TV's Best Drama You've Probably Never Heard Of (2021),https://www.sceneandheardnu.com/content/halt-and-catch-fire
3,Terminals should generate the 256-color palette,https://gist.github.com/jake-stewart/0a8ea46159a7da2c808e5be2177e1783
4,Claude Sonnet 4.6,https://www.anthropic.com/news/claude-sonnet-4-6
5,Thank HN: You helped save 33k lives,item?id=47049824
6,Stardex (YC S21) Is Hiring,https://www.ycombinator.com/companies/stardex/jobs/lag1C1P-customer-success-engineer-ai-data-migration
7,BarraCUDA Open-source CUDA compiler targeting AMD GPUs,https://github.com/Zaneham/BarraCUDA
8,A DuckDB-based metabase alternative,https://github.com/taleshape-com/shaper
9,"Show HN: AsteroidOS 2.0 – Nobody asked, we shipped anyway",https://asteroidos.org/news/2-0-release/index.html
10,Thousands of CEOs just admitted AI had no impact on employment or productivity,https://fortune.com/2026/02/17/ai-productivity-paradox-ceo-study-robert-solow-information-technology-age/
